30.739475412
         57638455 function calls (50957335 primitive calls) in 31.919 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   268165    0.107    0.000    0.132    0.000 xsdtree.py:147(xml_element_tree_element)
    50000    0.103    0.000    0.666    0.000 xsdsimpletype.py:120(_populate_pattern)
   415044    0.101    0.000    0.101    0.000 {method 'split' of 'str' objects}
   437064    0.099    0.000    0.172    0.000 xsdtree.py:312(get_xsd_tree)
66000/19000    0.097    0.000    1.147    0.000 xmlchildcontainer.py:532(<listcomp>)
    59000    0.095    0.000    1.478    0.000 xmlelement.py:199(possible_children_names)
   796000    0.095    0.000    0.095    0.000 xmlchildcontainer.py:384(requirements_not_fulfilled)
    49000    0.093    0.000    6.282    0.000 xmlelement.py:102(_create_child_container_tree)
    81000    0.092    0.000    0.151    0.000 util.py:49(isinstance_as_string)
   522102    0.091    0.000    0.091    0.000 ElementPath.py:178(select)
   410037    0.087    0.000    0.117    0.000 {method 'join' of 'str' objects}
    50000    0.086    0.000    0.334    0.000 xsdtree.py:214(get_xsd_pattern)
   650000    0.085    0.000    0.085    0.000 xmlchildcontainer.py:366(force_validate)
    50000    0.084    0.000    0.495    0.000 xsdtree.py:237(get_permitted)
    24000    0.081    0.000    0.760    0.000 xmlchildcontainer.py:16(_convert_xsd_child_to_xsd_container)
34000/32000    0.080    0.000    0.219    0.000 chord.py:553(__setattr__)
    45000    0.076    0.000    0.182    0.000 xsdelement.py:32(add_xml_element)
   261051    0.074    0.000    0.075    0.000 xsdtree.py:58(<listcomp>)
   261051    0.074    0.000    0.074    0.000 ElementPath.py:336(__init__)
    92000    0.074    0.000    0.464    0.000 ElementTree.py:1165(indent)
     7000    0.073    0.000    0.073    0.000 {method 'find' of 'xml.etree.ElementTree.Element' objects}
    46000    0.072    0.000    0.170    0.000 xmlelement.py:65(_check_required_attributes)
   123000    0.070    0.000    0.141    0.000 quarterduration.py:265(_convert_other)
   244000    0.069    0.000    0.090    0.000 xmlchildcontainer.py:174(_check_child_to_be_added)
    49000    0.069    0.000    0.098    0.000 xmlelement.py:269(find_child)
   522321    0.068    0.000    0.068    0.000 {method 'append' of 'list' objects}
    50000    0.068    0.000    0.577    0.000 xsdsimpletype.py:109(_populate_permitted)
    73104    0.064    0.000    0.077    0.000 core.py:1(cap_first)
    55000    0.063    0.000    0.081    0.000 core.py:40(replace_key_underline_with_hyphen)
29000/5000    0.061    0.000    0.903    0.000 xmlchildcontainer.py:278(_populate_children)
    50000    0.058    0.000    0.467    0.000 xsdtree.py:213(get_pattern)
50000/47000    0.057    0.000    0.621    0.000 xsdsimpletype.py:129(value)
    81000    0.057    0.000    0.157    0.000 quarterduration.py:220(__eq__)
63000/50000    0.057    0.000    1.024    0.000 xmlchildcontainer.py:81(_check_if_group_requires_elements)
    49000    0.056    0.000    0.156    0.000 xsdindicator.py:59(__copy__)
     1000    0.056    0.000    0.094    0.000 ElementTree.py:810(_namespaces)
91000/5000    0.056    0.000    1.953    0.000 xmlelement.py:187(et_xml_element)
   379000    0.055    0.000    0.055    0.000 {built-in method builtins.iter}
   256000    0.054    0.000    0.054    0.000 xsdattribute.py:54(name)
    46000    0.053    0.000    0.101    0.000 xmlelement.py:72(_check_required_value)
72000/71000    0.051    0.000    0.279    0.000 xmlwrapper.py:41(__getattr__)
    81000    0.051    0.000    0.051    0.000 util.py:61(<listcomp>)
   478000    0.047    0.000    0.047    0.000 {method 'strip' of 'str' objects}
   338000    0.047    0.000    0.047    0.000 xsdelement.py:14(xsd_tree)
    99000    0.047    0.000    0.047    0.000 {built-in method _abc._abc_instancecheck}
   100000    0.046    0.000    0.061    0.000 xsdsimpletype.py:93(<listcomp>)
    17000    0.045    0.000    0.045    0.000 chord.py:554(<listcomp>)
   101000    0.045    0.000    0.073    0.000 xsdtree.py:95(is_simple_type)
    50000    0.045    0.000    0.124    0.000 xsdsimpletype.py:112(_populate_forced_permitted)
    97000    0.045    0.000    0.220    0.000 quarterduration.py:19(__init__)
    50000    0.044    0.000    0.072    0.000 xsdtree.py:240(<listcomp>)
    14000    0.044    0.000    0.124    0.000 core.py:5(get_cleaned_token)
    50000    0.043    0.000    0.068    0.000 xsdtree.py:255(get_union)
26000/23000    0.043    0.000    0.422    0.000 xsdsimpletype.py:249(value)
    45000    0.043    0.000    0.043    0.000 xmlchildcontainer.py:421(<listcomp>)
    49000    0.042    0.000    0.120    0.000 xmlelement.py:84(<listcomp>)
    50000    0.042    0.000    0.065    0.000 xsdtree.py:242(<listcomp>)
   201000    0.041    0.000    0.041    0.000 {built-in method builtins.hasattr}
    28000    0.040    0.000    0.061    0.000 xsdindicator.py:105(__copy__)
    95000    0.040    0.000    0.060    0.000 xsdtree.py:101(is_complex_type)
    11000    0.040    0.000    0.781    0.000 xmlelement.py:52(_check_attribute)
   184000    0.040    0.000    0.040    0.000 xmlelement.py:228(xsd_check)
    51027    0.039    0.000    0.076    0.000 xsdindicator.py:51(xsd_tree)
   104000    0.039    0.000    0.048    0.000 xmlchildcontainer.py:388(requirements_not_fulfilled)
   191201    0.038    0.000    0.038    0.000 xsdtree.py:163(get_attributes)
    26000    0.037    0.000    0.298    0.000 xsdcomplextype.py:15(__init__)
    93000    0.037    0.000    0.048    0.000 xmlchildcontainer.py:555(<listcomp>)
    19000    0.037    0.000    0.347    0.000 xsdsimpletype.py:227(value)
    51027    0.035    0.000    0.111    0.000 xsdindicator.py:7(__init__)
    19000    0.034    0.000    6.129    0.000 copy.py:66(copy)
    21000    0.033    0.000    0.107    0.000 quarterduration.py:151(__add__)
     3000    0.032    0.000    0.206    0.000 quarterduration.py:227(_is_writable)
2000/1000    0.032    0.000    0.667    0.001 beat.py:329(add_child)
    99000    0.032    0.000    0.079    0.000 abc.py:117(__instancecheck__)
   165000    0.031    0.000    0.031    0.000 xmlelement.py:206(value_)
   202002    0.030    0.000    0.030    0.000 {method 'items' of 'dict' objects}
10000/5000    0.030    0.000    0.300    0.000 core.py:174(_get_music_tree_descendent)
   131000    0.030    0.000    0.030    0.000 xmlelement.py:160(attributes)
    12000    0.030    0.000    0.079    0.000 core.py:55(_check_child_to_be_added)
    79001    0.029    0.000    0.029    0.000 {method 'replace' of 'str' objects}
    97165    0.028    0.000    0.037    0.000 xsdtree.py:61(_check_child_to_be_added)
    24000    0.028    0.000    0.048    0.000 xmlelement.py:67(<listcomp>)
    45000    0.027    0.000    0.176    0.000 xmlchildcontainer.py:464(<listcomp>)
    10000    0.027    0.000    0.051    0.000 core.py:33(_check_args_kwargs)
    13000    0.026    0.000    0.401    0.000 core.py:27(__init__)
   234000    0.026    0.000    0.026    0.000 {method 'write' of '_io.StringIO' objects}
   208000    0.026    0.000    0.026    0.000 quarterduration.py:45(value)
14000/11000    0.025    0.000    0.403    0.000 xsdsimpletype.py:270(value)
    12000    0.024    0.000    1.770    0.000 layout.py:95(_update_parent)
   118000    0.024    0.000    0.024    0.000 xmlelement.py:174(child_container_tree)
    92000    0.023    0.000    0.023    0.000 xmlelement.py:111(<dictcomp>)
    76000    0.023    0.000    0.026    0.000 xsdcomplextype.py:45(get_xsd_attributes)
    39000    0.022    0.000    0.028    0.000 beat.py:415(get_parent)
     2000    0.022    0.000    0.040    0.000 ElementTree.py:1334(XML)
24000/4000    0.021    0.000    0.065    0.000 core.py:95(get_quantized)
    26000    0.020    0.000    0.261    0.000 xsdcomplextype.py:40(value)
    10000    0.020    0.000    0.127    0.000 core.py:77(_get_kwargs)
    19000    0.020    0.000    2.675    0.000 xmlchildcontainer.py:550(get_required_element_names)
    98000    0.020    0.000    0.020    0.000 xsdattribute.py:72(is_required)
    49000    0.019    0.000    0.045    0.000 xmlelement.py:236(xsd_check)
    32000    0.019    0.000    0.024    0.000 voice.py:106(get_children)
31000/28000    0.019    0.000    2.041    0.000 {built-in method builtins.setattr}
18000/3000    0.019    0.000    0.071    0.000 core.py:159(get_chords)
     2000    0.018    0.000    0.018    0.000 {method 'feed' of 'xml.etree.ElementTree.XMLParser' objects}
    31000    0.018    0.000    0.023    0.000 voice.py:113(get_parent)
    27000    0.018    0.000    0.023    0.000 chord.py:438(get_children)
     1000    0.018    0.000    2.810    0.003 score.py:66(_update_xml_object)
    29000    0.017    0.000    0.017    0.000 xmlchildcontainer.py:568(<listcomp>)
    88000    0.017    0.000    0.017    0.000 ElementTree.py:1033(_escape_cdata)
    46000    0.017    0.000    0.017    0.000 ElementTree.py:821(add_qname)
    29000    0.017    0.000    0.027    0.000 xmlchildcontainer.py:279(<listcomp>)
    11000    0.017    0.000    0.692    0.000 xsdattribute.py:81(__call__)
     1000    0.017    0.000    0.343    0.000 quarterduration.py:88(get_beatwise_sections)
     1000    0.017    0.000    8.752    0.009 score.py:31(__init__)
     8000    0.016    0.000    0.043    0.000 accidental.py:266(get_pitch_parameters)
    69000    0.016    0.000    0.016    0.000 xmlwrapper.py:10(xml_object)
    27000    0.016    0.000    0.020    0.000 beat.py:408(get_children)
    86194    0.016    0.000    0.030    0.000 {method 'get' of 'dict' objects}
    26000    0.015    0.000    0.241    0.000 xsdcomplextype.py:27(_check_value)
    19000    0.015    0.000    0.020    0.000 measure.py:353(get_children)
    49000    0.015    0.000    0.015    0.000 xmlelement.py:47(_fill_xsd_tree)
    27000    0.015    0.000    0.019    0.000 staff.py:124(get_parent)
    12000    0.015    0.000    0.038    0.000 xsdindicator.py:80(__copy__)
     3000    0.014    0.000    0.045    0.000 xmlelement.py:130(_get_attributes_error_message)
    11000    0.014    0.000    0.023    0.000 xmlelement.py:54(<listcomp>)
    24000    0.014    0.000    0.018    0.000 accidental.py:259(get_parent)
    73104    0.014    0.000    0.014    0.000 {method 'upper' of 'str' objects}
     2000    0.013    0.000    1.135    0.001 layout.py:56(parent)
    15000    0.013    0.000    0.017    0.000 note.py:221(xml_object)
    10000    0.013    0.000    0.018    0.000 core.py:35(_get_default_keys)
    24000    0.013    0.000    0.017    0.000 measure.py:366(get_parent)
    55000    0.013    0.000    0.013    0.000 xmlelement.py:149(<dictcomp>)
     2000    0.013    0.000    0.083    0.000 xmlchildcontainer.py:127(__init__)
     1000    0.013    0.000    0.617    0.001 chord.py:494(split_and_add_beatwise)
    12000    0.013    0.000    0.016    0.000 score.py:215(xml_object)
        4    0.013    0.003    0.013    0.003 sre_compile.py:276(_optimize_charset)
    90000    0.012    0.000    0.012    0.000 {method 'append' of 'xml.etree.ElementTree.Element' objects}
    24000    0.012    0.000    0.033    0.000 chord.py:272(notes)
     1000    0.012    0.000   30.739    0.031 time_helloworld.py:9(hello)
    15000    0.012    0.000    0.018    0.000 xsdindicator.py:72(xsd_tree)
     1000    0.012    0.000    0.385    0.000 time.py:103(_update_signature_objects)
    28000    0.012    0.000    0.012    0.000 xsdindicator.py:86(__init__)
     3000    0.012    0.000    0.150    0.000 xmlchildcontainer.py:148(_add_duplication_parent)
     1000    0.012    0.000    7.286    0.007 measure.py:169(finalize)
     1000    0.012    0.000    0.046    0.000 xmlchildcontainer.py:450(<listcomp>)
    12000    0.011    0.000    0.014    0.000 measure.py:266(xml_object)
    10000    0.011    0.000    0.042    0.000 beat.py:289(is_filled)
     1000    0.011    0.000    1.541    0.002 layout.py:260(__init__)
     1000    0.011    0.000    0.516    0.001 voice.py:131(update_beats)
     3000    0.011    0.000    1.832    0.001 layout.py:80(__init__)
4000/1000    0.011    0.000    7.306    0.007 finalupdate_mixin.py:9(finalize)
    20000    0.011    0.000    0.014    0.000 part.py:313(get_parent)
    12000    0.011    0.000    0.088    0.000 numbers.py:91(__sub__)
    11000    0.011    0.000    0.017    0.000 xmlelement.py:55(<listcomp>)
     1000    0.010    0.000    0.771    0.001 layout.py:217(score)
    92000    0.010    0.000    0.010    0.000 {method 'items' of 'xml.etree.ElementTree.Element' objects}
     6000    0.010    0.000    0.033    0.000 quarterduration.py:193(__radd__)
     3000    0.010    0.000    1.085    0.000 xmlchildcontainer.py:503(duplicate)
     1000    0.010    0.000    0.148    0.000 measure.py:62(_update_accidentals)
     2000    0.010    0.000    0.040    0.000 xmlchildcontainer.py:468(<listcomp>)
    58000    0.010    0.000    0.010    0.000 quarterduration.py:289(quarter_duration)
     1000    0.010    0.000    3.760    0.004 note.py:38(__init__)
    28000    0.010    0.000    0.012    0.000 core.py:6(<genexpr>)
     7229    0.009    0.000    0.027    0.000 re.py:289(_compile)
    23000    0.009    0.000    0.039    0.000 accidental.py:214(parent_midi)
     4000    0.009    0.000    0.027    0.000 quarterduration.py:181(__mul__)
    51000    0.009    0.000    0.009    0.000 xsdindicator.py:47(xsd_tree)
     3000    0.009    0.000    0.912    0.000 xmlchildcontainer.py:235(_create_empty_copy)
     5000    0.009    0.000    0.084    0.000 xsdsimpletype.py:156(value)
     3000    0.009    0.000    0.042    0.000 layout.py:135(parent)
    15000    0.009    0.000    0.027    0.000 xsdindicator.py:64(__init__)
     6000    0.009    0.000    0.015    0.000 xmlelement.py:281(find_children)
    28000    0.009    0.000    0.009    0.000 xsdindicator.py:93(sequence)
    10000    0.009    0.000    0.010    0.000 quarterduration.py:184(__neg__)
     1000    0.008    0.000    3.962    0.004 chord.py:161(_update_notes)
     1000    0.008    0.000    5.324    0.005 chord.py:178(finalize)
     3000    0.008    0.000    0.028    0.000 tree.py:84(next)
     1000    0.008    0.000    1.273    0.001 layout.py:354(__init__)
6000/3000    0.008    0.000    0.055    0.000 core.py:167(<listcomp>)
    14000    0.008    0.000    0.009    0.000 core.py:9(<listcomp>)
     1000    0.008    0.000    1.193    0.001 measure.py:317(add_staff)
     1000    0.008    0.000    0.498    0.000 note.py:112(_update_xml_pitch_or_rest)
    11000    0.008    0.000    0.009    0.000 chord.py:445(get_parent)
    28000    0.008    0.000    0.009    0.000 core.py:7(<genexpr>)
     1000    0.007    0.000    0.059    0.000 beat.py:197(_update_dots)
     1000    0.007    0.000    5.494    0.005 part.py:250(add_measure)
     1000    0.007    0.000    1.236    0.001 part.py:124(__init__)
     1000    0.007    0.000    2.845    0.003 measure.py:23(__init__)
    28000    0.007    0.000    0.009    0.000 core.py:8(<genexpr>)
     1000    0.007    0.000    0.863    0.001 measure.py:147(_update_xml_backup_note_direction)
     1000    0.007    0.000    0.296    0.000 ElementTree.py:693(write)
     4000    0.007    0.000    5.434    0.001 beat.py:386(finalize)
     1000    0.007    0.000    0.507    0.001 note.py:98(_update_xml_duration)
     1000    0.007    0.000    0.375    0.000 score.py:219(add_child)
     3000    0.007    0.000    1.094    0.000 xmlchildcontainer.py:246(_duplicate_parent_in_path)
     1000    0.007    0.000    0.407    0.000 midi.py:34(_update_pitch_parameters)
     1000    0.007    0.000    0.989    0.001 chord.py:40(__init__)
     1000    0.007    0.000    0.142    0.000 measure.py:37(_set_clefs)
     1000    0.007    0.000    0.310    0.000 ElementTree.py:1092(tostring)
     5000    0.007    0.000    0.007    0.000 {method 'fullmatch' of 're.Pattern' objects}
     1000    0.007    0.000    0.763    0.001 measure.py:270(add_child)
     9000    0.007    0.000    0.008    0.000 staff.py:117(get_children)
     1000    0.007    0.000    0.007    0.000 {method 'getvalue' of '_io.StringIO' objects}
     1000    0.007    0.000    0.032    0.000 beat.py:113(_add_child)
     7000    0.007    0.000    0.038    0.000 quarterduration.py:282(_set_quarter_duration)
     4000    0.006    0.000    0.030    0.000 beat.py:107(__init__)
     2000    0.006    0.000    0.007    0.000 quarterduration.py:169(__hash__)
     1000    0.006    0.000    6.398    0.006 part.py:207(add_chord)
    40000    0.006    0.000    0.006    0.000 xmlchildcontainer.py:356(chosen_child)
    27000    0.006    0.000    0.006    0.000 {method 'index' of 'list' objects}
     4000    0.006    0.000    0.032    0.000 voice.py:120(get_current_beat)
    20000    0.006    0.000    0.006    0.000 {built-in method builtins.getattr}
     1000    0.006    0.000    0.074    0.000 staff.py:66(add_child)
     1000    0.006    0.000    0.127    0.000 part.py:149(id_)
     1000    0.006    0.000    1.494    0.001 measure.py:33(_set_attributes)
     6000    0.006    0.000    0.108    0.000 quarterduration.py:278(__init__)
     1000    0.006    0.000    0.175    0.000 measure.py:44(_set_key)
     9000    0.005    0.000    0.007    0.000 xmlchildcontainer.py:360(chosen_child)
6000/4000    0.005    0.000    0.290    0.000 core.py:253(get_voice)
     4000    0.005    0.000    0.023    0.000 quarterduration.py:175(__lt__)
     4000    0.005    0.000    0.026    0.000 accidental.py:226(sign)
     8000    0.005    0.000    0.024    0.000 numbers.py:49(__bool__)
     2000    0.005    0.000    0.145    0.000 note.py:82(_update_xml_accidental)
     4000    0.005    0.000    0.399    0.000 voice.py:83(add_child)
     1000    0.005    0.000    5.661    0.006 xmlelement.py:353(to_string)
     2000    0.005    0.000    1.908    0.001 measure.py:335(add_voice)
     1000    0.005    0.000    0.708    0.001 time.py:14(__init__)
     1000    0.005    0.000    0.155    0.000 measure.py:198(update_divisions)
     1000    0.005    0.000    0.159    0.000 measure.py:56(_set_time)
    11000    0.005    0.000    0.012    0.000 core.py:113(get_quantized)
     2000    0.005    0.000    0.036    0.000 chord.py:293(quarter_duration)
3000/1000    0.005    0.000    0.016    0.000 core.py:144(get_beats)
     1000    0.005    0.000    0.585    0.001 note.py:186(midi)
     1000    0.005    0.000    0.168    0.000 voice.py:18(__init__)
     4000    0.005    0.000    0.008    0.000 voice.py:48(number)
     1000    0.005    0.000    0.828    0.001 layout.py:274(_update)
     1000    0.005    0.000    0.010    0.000 time.py:26(_calculate_actual_signatures)
     1000    0.005    0.000    0.165    0.000 staff.py:20(__init__)
     5000    0.005    0.000    0.008    0.000 xsdtree.py:223(translate_pattern)
     2000    0.005    0.000    0.033    0.000 {built-in method builtins.sum}
     5000    0.005    0.000    0.024    0.000 finalupdate_mixin.py:6(__init__)
     3000    0.005    0.000    0.014    0.000 tree.py:95(previous)
     4000    0.005    0.000    0.028    0.000 beat.py:422(_split_not_writable_chords)
     1000    0.004    0.000    0.689    0.001 clef.py:14(__init__)
     1000    0.004    0.000    0.032    0.000 measure.py:360(get_divisions)
     2000    0.004    0.000    1.001    0.001 note.py:210(quarter_duration)
    12000    0.004    0.000    0.005    0.000 xmlchildcontainer.py:286(<listcomp>)
     2000    0.004    0.000    0.199    0.000 part.py:59(add_parent)
     1000    0.004    0.000    0.545    0.001 layout.py:174(__init__)
     1000    0.004    0.000    0.018    0.000 note.py:57(_set_quarter_duration)
     1000    0.004    0.000    0.024    0.000 beat.py:205(<listcomp>)
     1000    0.004    0.000    0.436    0.000 part.py:104(part)
     1000    0.004    0.000    0.162    0.000 accidental.py:159(__init__)
     2000    0.004    0.000    0.096    0.000 voice.py:60(number)
     1000    0.004    0.000    0.709    0.001 measure.py:115(_update_default_clefs)
     4000    0.004    0.000    0.005    0.000 voice.py:68(xml_object)
     1000    0.004    0.000    0.075    0.000 beat.py:245(_update_note_tuplets_and_dots)
     2000    0.004    0.000    0.013    0.000 accidental.py:175(xml_object)
     1000    0.004    0.000    0.163    0.000 chord.py:93(_update_xml_articulations)
     3000    0.004    0.000    0.060    0.000 part.py:183(score_part)
    11000    0.004    0.000    0.004    0.000 ElementTree.py:1049(_escape_attrib)
    19000    0.004    0.000    0.004    0.000 {built-in method builtins.issubclass}
     1000    0.004    0.000    0.750    0.001 key.py:14(__init__)
     1000    0.004    0.000    0.011    0.000 chord.py:145(_update_xml_lyrics)
     4000    0.004    0.000    0.006    0.000 part.py:141(id_)
     1000    0.004    0.000    0.412    0.000 note.py:136(_update_xml_type)
     1000    0.004    0.000    0.089    0.000 part.py:175(name)
     2000    0.004    0.000    0.145    0.000 note.py:259(_update_xml_notations)
     1000    0.004    0.000    0.004    0.000 contextlib.py:86(__init__)
     1000    0.004    0.000    0.867    0.001 chord.py:59(_set_midis)
     1000    0.004    0.000    0.833    0.001 part.py:87(__init__)
     1000    0.004    0.000    0.541    0.001 measure.py:100(_update_attributes)
     1000    0.004    0.000    0.398    0.000 time.py:70(signatures)
     6000    0.004    0.000    0.004    0.000 xmlelement.py:289(<listcomp>)
     1000    0.004    0.000    0.061    0.000 measure.py:50(_set_staves)
     2000    0.004    0.000    0.006    0.000 layout.py:242(millimeters_to_tenths)
     1000    0.004    0.000    0.007    0.000 beat.py:267(_get_actual_notes)
     1000    0.004    0.000    0.129    0.000 part.py:194(add_child)
     2000    0.004    0.000    0.084    0.000 accidental.py:248(show)
     1000    0.003    0.000    0.381    0.000 layout.py:337(_set_page_height_and_width)
     1000    0.003    0.000    0.846    0.001 midi.py:19(__init__)
     4000    0.003    0.000    0.069    0.000 core.py:242(get_staff)
    18000    0.003    0.000    0.003    0.000 xsdindicator.py:68(xsd_tree)
     3000    0.003    0.000    0.009    0.000 measure.py:203(clefs)
     4000    0.003    0.000    0.004    0.000 clef.py:82(xml_object)
     1000    0.003    0.000    1.209    0.001 note.py:143(_update_xml_voice)
     2000    0.003    0.000    0.193    0.000 part.py:53(update_parents_id)
     1000    0.003    0.000    5.667    0.006 xmlwrapper.py:17(to_string)
     1000    0.003    0.000    0.150    0.000 chord.py:119(_update_xml_technicals)
     1000    0.003    0.000    0.007    0.000 note.py:295(remove_tie)
     2000    0.003    0.000    0.006    0.000 layout.py:309(scaling)
     2229    0.003    0.000    0.003    0.000 {method 'match' of 're.Pattern' objects}
     4000    0.003    0.000    0.006    0.000 quarterduration.py:166(__ge__)
     1000    0.003    0.000    0.008    0.000 beat.py:457(_beam_chord_group)
     2000    0.003    0.000    0.012    0.000 layout.py:42(__init__)
