         13881068 function calls (11679611 primitive calls) in 7.821 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     8717    0.024    0.000    0.368    0.000 xmlelement.py:213(value_)
    20361    0.024    0.000    0.024    0.000 {method '__reduce_ex__' of 'object' objects}
    52484    0.024    0.000    0.030    0.000 xsdtree.py:130(xml_element_tree_element)
   129663    0.023    0.000    0.023    0.000 xsdtree.py:126(xml_element_tree_element)
   156404    0.023    0.000    0.026    0.000 {method 'get' of 'dict' objects}
    25007    0.023    0.000    0.683    0.000 tree.py:240(iterate_leaves)
7582/7579    0.023    0.000    0.052    0.000 xsdsimpletype.py:34(_check_value)
     5890    0.022    0.000    0.284    0.000 xmlchildcontainer.py:16(_convert_xsd_child_to_xsd_container)
   144810    0.022    0.000    0.022    0.000 xmlchildcontainer.py:366(force_validate)
    11380    0.021    0.000    0.431    0.000 xmlelement.py:199(possible_children_names)
    35460    0.020    0.000    0.128    0.000 xmlelement.py:255(get_children)
   165473    0.019    0.000    0.019    0.000 xmlchildcontainer.py:384(requirements_not_fulfilled)
     6632    0.019    0.000    1.926    0.000 xmlelement.py:240(add_child)
13373/1899    0.019    0.000    0.271    0.000 xmlchildcontainer.py:532(<listcomp>)
    14808    0.019    0.000    0.030    0.000 util.py:49(isinstance_as_string)
      990    0.018    0.000    0.140    0.000 {method 'find' of 'xml.etree.ElementTree.Element' objects}
167420/167416    0.018    0.000    0.018    0.000 {built-in method builtins.len}
     6619    0.017    0.000    0.017    0.000 chord.py:554(<listcomp>)
     7582    0.017    0.000    0.028    0.000 xsdtree.py:220(<listcomp>)
   103557    0.017    0.000    0.017    0.000 {built-in method builtins.id}
     7582    0.017    0.000    0.103    0.000 xsdsimpletype.py:120(_populate_pattern)
     8525    0.016    0.000    0.022    0.000 xmlelement.py:269(find_child)
     7582    0.016    0.000    0.027    0.000 xsdtree.py:218(<listcomp>)
     7672    0.016    0.000    2.241    0.000 xmlelement.py:102(_create_child_container_tree)
 6425/535    0.015    0.000    0.315    0.001 xmlchildcontainer.py:278(_populate_children)
    63282    0.015    0.000    0.033    0.000 xsdtree.py:291(get_xsd_tree)
   6009/1    0.015    0.000    0.022    0.022 ElementTree.py:871(_serialize_xml)
    53100    0.015    0.000    0.020    0.000 xmlchildcontainer.py:174(_check_child_to_be_added)
    34147    0.015    0.000    0.020    0.000 xsdtree.py:103(name)
     7582    0.015    0.000    0.042    0.000 xsdtree.py:192(get_xsd_pattern)
15966/12165    0.014    0.000    0.237    0.000 xmlchildcontainer.py:81(_check_if_group_requires_elements)
    42786    0.014    0.000    0.014    0.000 ElementPath.py:336(__init__)
     7582    0.014    0.000    0.095    0.000 xsdtree.py:215(get_permitted)
    42735    0.014    0.000    0.014    0.000 xsdtree.py:54(<listcomp>)
   6009/1    0.014    0.000    0.697    0.697 xmlelement.py:118(_final_checks)
8213/8212    0.013    0.000    0.194    0.000 xmlwrapper.py:41(__getattr__)
    93288    0.013    0.000    0.013    0.000 {method 'append' of 'list' objects}
    85824    0.013    0.000    0.013    0.000 {built-in method builtins.issubclass}
    21243    0.013    0.000    0.016    0.000 chord.py:445(get_parent)
     6632    0.013    0.000    0.031    0.000 xsdelement.py:32(add_xml_element)
        4    0.012    0.003    0.013    0.003 sre_compile.py:276(_optimize_charset)
    20361    0.012    0.000    0.018    0.000 copyreg.py:94(__newobj__)
     7582    0.012    0.000    0.109    0.000 xsdsimpletype.py:109(_populate_permitted)
     8823    0.011    0.000    0.015    0.000 core.py:40(replace_key_underline_with_hyphen)
    10788    0.011    0.000    0.014    0.000 core.py:1(cap_first)
     4857    0.011    0.000    0.042    0.000 tree.py:95(previous)
    15473    0.011    0.000    0.011    0.000 {built-in method _abc._abc_instancecheck}
    68618    0.010    0.000    0.010    0.000 xsdelement.py:14(xsd_tree)
    14808    0.010    0.000    0.010    0.000 util.py:61(<listcomp>)
     9735    0.010    0.000    0.019    0.000 quarterduration.py:265(_convert_other)
    13000    0.010    0.000    0.013    0.000 chord.py:438(get_children)
2939/1120    0.009    0.000    0.098    0.000 core.py:174(_get_music_tree_descendent)
7582/7579    0.009    0.000    0.078    0.000 xsdsimpletype.py:129(value)
    21938    0.009    0.000    0.012    0.000 xmlchildcontainer.py:555(<listcomp>)
     7582    0.009    0.000    0.064    0.000 xsdtree.py:191(get_pattern)
    54235    0.009    0.000    0.009    0.000 {built-in method builtins.iter}
4278/4275    0.009    0.000    0.060    0.000 xsdsimpletype.py:249(value)
    40630    0.009    0.000    0.009    0.000 {built-in method builtins.hasattr}
     4238    0.009    0.000    0.115    0.000 xsdcomplextype.py:15(__init__)
     6009    0.008    0.000    0.022    0.000 xmlelement.py:65(_check_required_attributes)
    12018    0.008    0.000    0.061    0.000 ElementTree.py:1165(indent)
     2939    0.008    0.000    0.015    0.000 core.py:33(_check_args_kwargs)
     8525    0.008    0.000    0.021    0.000 xmlelement.py:84(<listcomp>)
    13646    0.008    0.000    0.010    0.000 beat.py:408(get_children)
     6632    0.007    0.000    0.007    0.000 xmlchildcontainer.py:421(<listcomp>)
    20361    0.007    0.000    0.007    0.000 {method '_update' of 'dict' objects}
  12017/5    0.007    0.000    0.303    0.061 xmlelement.py:187(et_xml_element)
     7582    0.007    0.000    0.020    0.000 xsdsimpletype.py:112(_populate_forced_permitted)
     6738    0.007    0.000    0.022    0.000 quarterduration.py:220(__eq__)
     7582    0.007    0.000    0.011    0.000 xsdtree.py:233(get_union)
     6996    0.007    0.000    0.009    0.000 note.py:221(xml_object)
    16802    0.007    0.000    0.008    0.000 xmlchildcontainer.py:388(requirements_not_fulfilled)
    15164    0.007    0.000    0.009    0.000 xsdsimpletype.py:93(<listcomp>)
    14832    0.007    0.000    0.011    0.000 xsdtree.py:91(is_simple_type)
     3408    0.007    0.000    0.018    0.000 accidental.py:266(get_pitch_parameters)
    11761    0.007    0.000    0.019    0.000 chord.py:272(notes)
    20363    0.007    0.000    0.007    0.000 {built-in method __new__ of type object at 0x1012f43b8}
     3434    0.006    0.000    0.009    0.000 quarterduration.py:62(value)
    10098    0.006    0.000    0.008    0.000 accidental.py:259(get_parent)
    68414    0.006    0.000    0.006    0.000 {method 'strip' of 'str' objects}
     2939    0.006    0.000    0.040    0.000 core.py:77(_get_kwargs)
    20391    0.006    0.000    0.006    0.000 xmlelement.py:160(attributes)
    15808    0.006    0.000    0.006    0.000 {method 'replace' of 'str' objects}
    17801    0.006    0.000    0.008    0.000 xsdtree.py:57(_check_child_to_be_added)
  202/152    0.006    0.000    0.118    0.001 ElementPath.py:260(select)
    13681    0.006    0.000    0.009    0.000 xsdtree.py:97(is_complex_type)
      105    0.006    0.000    1.087    0.010 beat.py:210(_update_tuplets)
     6009    0.006    0.000    0.011    0.000 xmlelement.py:72(_check_required_value)
    15473    0.006    0.000    0.016    0.000 abc.py:117(__instancecheck__)
    29666    0.006    0.000    0.006    0.000 {method 'items' of 'dict' objects}
     1649    0.005    0.000    0.013    0.000 core.py:55(_check_child_to_be_added)
     1272    0.005    0.000    0.093    0.000 xmlelement.py:52(_check_attribute)
      105    0.005    0.000    0.314    0.003 beat.py:457(_beam_chord_group)
        1    0.005    0.005    0.007    0.007 ElementTree.py:810(_namespaces)
     6632    0.005    0.000    0.031    0.000 xmlchildcontainer.py:464(<listcomp>)
     2665    0.005    0.000    0.047    0.000 xsdsimpletype.py:156(value)
    24704    0.005    0.000    0.005    0.000 xmlelement.py:228(xsd_check)
     2074    0.005    0.000    0.118    0.000 core.py:27(__init__)
      413    0.005    0.000    2.388    0.006 note.py:38(__init__)
    25321    0.005    0.000    0.005    0.000 xmlelement.py:206(value_)
 1975/691    0.005    0.000    0.056    0.000 chord.py:280(offset)
    22760    0.005    0.000    0.005    0.000 xmlelement.py:174(child_container_tree)
     4238    0.005    0.000    0.103    0.000 xsdcomplextype.py:27(_check_value)
    12823    0.004    0.000    0.008    0.000 xsdcomplextype.py:45(get_xsd_attributes)
      413    0.004    0.000    3.177    0.008 chord.py:178(finalize)
     1799    0.004    0.000    0.013    0.000 quarterduration.py:151(__add__)
      413    0.004    0.000    2.485    0.006 chord.py:161(_update_notes)
     2996    0.004    0.000    0.007    0.000 xmlelement.py:67(<listcomp>)
     9685    0.004    0.000    0.017    0.000 accidental.py:214(parent_midi)
      413    0.004    0.000    0.239    0.001 note.py:98(_update_xml_duration)
     2939    0.004    0.000    0.005    0.000 core.py:35(_get_default_keys)
      310    0.004    0.000    0.014    0.000 xmlchildcontainer.py:468(<listcomp>)
     6425    0.004    0.000    0.006    0.000 xmlchildcontainer.py:279(<listcomp>)
6953/5714    0.004    0.000    0.451    0.000 {built-in method builtins.setattr}
      413    0.004    0.000    0.226    0.001 note.py:112(_update_xml_pitch_or_rest)
     4238    0.003    0.000    0.107    0.000 xsdcomplextype.py:40(value)
      105    0.003    0.000    0.062    0.001 measure.py:62(_update_accidentals)
     1272    0.003    0.000    0.006    0.000 xmlelement.py:54(<listcomp>)
     7672    0.003    0.000    0.008    0.000 xmlelement.py:236(xsd_check)
    10265    0.003    0.000    0.003    0.000 {method 'index' of 'list' objects}
    11807    0.003    0.000    0.003    0.000 xmlwrapper.py:10(xml_object)
      402    0.003    0.000    0.035    0.000 beat.py:329(add_child)
     4687    0.003    0.000    0.004    0.000 beat.py:415(get_parent)
    16541    0.003    0.000    0.003    0.000 quarterduration.py:45(value)
     4391    0.003    0.000    0.003    0.000 xmlchildcontainer.py:568(<listcomp>)
    12018    0.003    0.000    0.003    0.000 xmlelement.py:111(<dictcomp>)
    16638    0.003    0.000    0.003    0.000 xsdattribute.py:72(is_required)
     1587    0.003    0.000    0.005    0.000 xmlelement.py:281(find_children)
      588    0.003    0.000    0.247    0.000 beat.py:466(add_beam)
      105    0.003    0.000    0.040    0.000 beat.py:197(_update_dots)
     1025    0.003    0.000    0.005    0.000 voice.py:48(number)
     7672    0.003    0.000    0.126    0.000 xmlelement.py:47(_fill_xsd_tree)
    16846    0.003    0.000    0.003    0.000 {method 'get' of 'xml.etree.ElementTree.Element' objects}
      402    0.003    0.000    0.014    0.000 beat.py:113(_add_child)
      413    0.003    0.000    0.183    0.000 midi.py:34(_update_pitch_parameters)
    30706    0.003    0.000    0.003    0.000 {method 'write' of '_io.StringIO' objects}
     3434    0.003    0.000    0.012    0.000 quarterduration.py:19(__init__)
      815    0.003    0.000    0.068    0.000 note.py:82(_update_xml_accidental)
     4204    0.003    0.000    0.003    0.000 voice.py:113(get_parent)
      413    0.003    0.000    0.017    0.000 measure.py:360(get_divisions)
     2798    0.003    0.000    0.004    0.000 measure.py:353(get_children)
      210    0.003    0.000    0.442    0.002 beat.py:211(add_bracket_to_notes)
      413    0.003    0.000    0.442    0.001 chord.py:40(__init__)
        1    0.003    0.003    0.003    0.003 {method '__exit__' of '_io._IOBase' objects}
     1272    0.002    0.000    0.004    0.000 xmlelement.py:55(<listcomp>)
     3771    0.002    0.000    0.003    0.000 voice.py:106(get_children)
     1980    0.002    0.000    0.003    0.000 measure.py:266(xml_object)
      691    0.002    0.000    0.007    0.000 quarterduration.py:193(__radd__)
     3702    0.002    0.000    0.003    0.000 staff.py:124(get_parent)
    11196    0.002    0.000    0.002    0.000 quarterduration.py:289(quarter_duration)
      402    0.002    0.000    0.981    0.002 part.py:207(add_chord)
 1361/523    0.002    0.000    0.008    0.000 core.py:159(get_chords)
    10788    0.002    0.000    0.002    0.000 {method 'upper' of 'str' objects}
      105    0.002    0.000    0.869    0.008 part.py:250(add_measure)
      413    0.002    0.000    0.009    0.000 note.py:57(_set_quarter_duration)
      413    0.002    0.000    0.267    0.001 note.py:186(midi)
     8823    0.002    0.000    0.002    0.000 xmlelement.py:149(<dictcomp>)
    11712    0.002    0.000    0.002    0.000 ElementTree.py:1033(_escape_cdata)
      826    0.002    0.000    0.470    0.001 note.py:210(quarter_duration)
     3510    0.002    0.000    0.003    0.000 measure.py:366(get_parent)
     1756    0.002    0.000    0.011    0.000 accidental.py:226(sign)
      113    0.002    0.000    0.004    0.000 ElementTree.py:1334(XML)
      105    0.002    0.000    0.463    0.004 measure.py:147(_update_xml_backup_note_direction)
      413    0.002    0.000    0.192    0.000 note.py:136(_update_xml_type)
     1272    0.002    0.000    0.075    0.000 xsdattribute.py:81(__call__)
     1899    0.002    0.000    0.612    0.000 xmlchildcontainer.py:550(get_required_element_names)
      826    0.002    0.000    0.070    0.000 note.py:259(_update_xml_notations)
      477    0.002    0.000    0.005    0.000 core.py:5(get_cleaned_token)
      639    0.002    0.000    0.013    0.000 xsdsimpletype.py:227(value)
      413    0.002    0.000    0.005    0.000 chord.py:145(_update_xml_lyrics)
     1415    0.002    0.000    0.006    0.000 beat.py:289(is_filled)
      413    0.002    0.000    0.559    0.001 note.py:143(_update_xml_voice)
     1008    0.002    0.000    0.020    0.000 xsdsimpletype.py:200(value)
     5577    0.002    0.000    0.002    0.000 midi.py:99(value)
      815    0.002    0.000    0.006    0.000 accidental.py:175(xml_object)
      506    0.002    0.000    0.046    0.000 voice.py:95(add_chord)
      413    0.002    0.000    0.078    0.000 chord.py:93(_update_xml_articulations)
    11339    0.002    0.000    0.002    0.000 xmlchildcontainer.py:356(chosen_child)
      590    0.002    0.000    0.002    0.000 quarterduration.py:169(__hash__)
      413    0.002    0.000    0.074    0.000 accidental.py:159(__init__)
1924/1015    0.002    0.000    0.097    0.000 core.py:253(get_voice)
      105    0.002    0.000    5.251    0.050 measure.py:169(finalize)
      826    0.002    0.000    0.016    0.000 xsdsimpletype.py:177(value)
      413    0.002    0.000    0.069    0.000 chord.py:119(_update_xml_technicals)
      365    0.002    0.000    0.009    0.000 beat.py:205(<listcomp>)
      826    0.002    0.000    0.039    0.000 accidental.py:248(show)
      113    0.002    0.000    0.002    0.000 {method 'feed' of 'xml.etree.ElementTree.XMLParser' objects}
     1748    0.002    0.000    0.002    0.000 staff.py:117(get_children)
    12016    0.002    0.000    0.002    0.000 {method 'append' of 'xml.etree.ElementTree.Element' objects}
     1587    0.002    0.000    0.002    0.000 xmlelement.py:289(<listcomp>)
      422    0.002    0.000    0.337    0.001 xmlchildcontainer.py:503(duplicate)
      422    0.002    0.000    0.319    0.001 xmlchildcontainer.py:235(_create_empty_copy)
     3229    0.002    0.000    0.002    0.000 xmlchildcontainer.py:286(<listcomp>)
      112    0.001    0.000    0.006    0.000 xmlchildcontainer.py:450(<listcomp>)
      931    0.001    0.000    0.010    0.000 quarterduration.py:282(_set_quarter_duration)
      422    0.001    0.000    0.014    0.000 xmlchildcontainer.py:148(_add_duplication_parent)
      413    0.001    0.000    0.039    0.000 chord.py:94(_get_note_xml_articulations)
      908    0.001    0.000    0.007    0.000 voice.py:120(get_current_beat)
      413    0.001    0.000    0.396    0.001 chord.py:59(_set_midis)
        1    0.001    0.001    7.829    7.829 profile_tuplets.py:11(p)
      413    0.001    0.000    0.001    0.000 chord.py:76(_update_xml_directions)
      391    0.001    0.000    0.003    0.000 note.py:295(remove_tie)
     1893    0.001    0.000    0.002    0.000 xmlchildcontainer.py:360(chosen_child)
      105    0.001    0.000    0.052    0.000 time.py:103(_update_signature_objects)
    12018    0.001    0.000    0.001    0.000 {method 'items' of 'xml.etree.ElementTree.Element' objects}
     1025    0.001    0.000    0.002    0.000 voice.py:68(xml_object)
      101    0.001    0.000    0.001    0.000 ElementPath.py:226(prepare_predicate)
      105    0.001    0.000    4.623    0.044 beat.py:386(finalize)
  477/474    0.001    0.000    0.025    0.000 xsdsimpletype.py:270(value)
      506    0.001    0.000    0.104    0.000 measure.py:303(add_chord)
      413    0.001    0.000    0.032    0.000 chord.py:120(get_note_xml_technical)
      422    0.001    0.000    0.338    0.001 xmlchildcontainer.py:246(_duplicate_parent_in_path)
      413    0.001    0.000    0.395    0.001 midi.py:19(__init__)
     1456    0.001    0.000    0.001    0.000 part.py:313(get_parent)
     1239    0.001    0.000    0.001    0.000 midi.py:155(get_parent)
      413    0.001    0.000    0.019    0.000 note.py:85(_update_xml_dots)
      413    0.001    0.000    0.032    0.000 chord.py:171(_update_xml_chord)
      413    0.001    0.000    0.038    0.000 note.py:133(_update_xml_staff)
      435    0.001    0.000    0.053    0.000 chord.py:225(_update_tie)
  838/523    0.001    0.000    0.005    0.000 core.py:167(<listcomp>)
      105    0.001    0.000    0.062    0.001 measure.py:317(add_staff)
     1015    0.001    0.000    0.019    0.000 core.py:242(get_staff)
      826    0.001    0.000    0.187    0.000 accidental.py:167(_update_parent_midi)
      113    0.001    0.000    0.007    0.000 xmlchildcontainer.py:127(__init__)
      413    0.001    0.000    0.004    0.000 chord.py:458(get_staff_number)
      413    0.001    0.000    0.446    0.001 chord.py:205(_update_notes_quarter_duration)
      804    0.001    0.000    0.009    0.000 numbers.py:91(__sub__)
    212/1    0.001    0.000    5.251    5.251 finalupdate_mixin.py:9(finalize)
     1148    0.001    0.000    0.001    0.000 clef.py:82(xml_object)
      413    0.001    0.000    0.006    0.000 chord.py:464(get_voice_number)
      413    0.001    0.000    0.089    0.000 midi.py:46(_update_pitch_or_rest)
  630/105    0.001    0.000    0.003    0.000 core.py:95(quantize)
      413    0.001    0.000    0.228    0.001 midi.py:142(add_child)
      931    0.001    0.000    0.043    0.000 quarterduration.py:278(__init__)
      413    0.001    0.000    0.002    0.000 numbers.py:283(__float__)
      105    0.001    0.000    0.407    0.004 measure.py:23(__init__)
      699    0.001    0.000    0.001    0.000 quarterduration.py:184(__neg__)
      826    0.001    0.000    0.037    0.000 accidental.py:171(_update_xml_object)
     1819    0.001    0.000    0.001    0.000 core.py:48(<dictcomp>)
      209    0.001    0.000    0.215    0.001 key.py:14(__init__)
      105    0.001    0.000    0.020    0.000 voice.py:131(update_beats)
      105    0.001    0.000    1.130    0.011 beat.py:245(_update_note_tuplets_and_dots)
      413    0.001    0.000    0.303    0.001 midi.py:74(accidental)
      507    0.001    0.000    0.064    0.000 measure.py:335(add_voice)
     3821    0.001    0.000    0.001    0.000 midi.py:70(accidental)
     1239    0.001    0.000    0.001    0.000 quarterduration.py:34(denominator)
      413    0.001    0.000    0.001    0.000 midi.py:92(parent_note)
      413    0.001    0.000    0.007    0.000 note.py:289(get_voice_number)
      826    0.001    0.000    0.001    0.000 quarterduration.py:23(numerator)
      413    0.001    0.000    0.005    0.000 note.py:283(get_staff_number)
      132    0.001    0.000    0.001    0.000 {built-in method fromkeys}
      105    0.001    0.000    0.044    0.000 beat.py:422(_split_not_writable_chords)
      413    0.001    0.000    0.006    0.000 accidental.py:205(mode)
      105    0.001    0.000    0.020    0.000 measure.py:198(update_divisions)
        1    0.001    0.001    0.001    0.001 {method 'getvalue' of '_io.StringIO' objects}
      105    0.001    0.000    0.201    0.002 measure.py:33(_set_attributes)
      208    0.001    0.000    0.002    0.000 measure.py:224(number)
      413    0.001    0.000    0.091    0.000 chord.py:364(add_child)
      413    0.001    0.000    0.090    0.000 midi.py:103(value)
      413    0.001    0.000    0.389    0.001 chord.py:73(<listcomp>)
      104    0.001    0.000    0.007    0.000 key.py:21(fifths)
      403    0.001    0.000    0.001    0.000 part.py:320(set_current_measure)
      413    0.001    0.000    0.007    0.000 chord.py:293(quarter_duration)
     2065    0.001    0.000    0.001    0.000 note.py:202(parent_chord)
      826    0.001    0.000    0.001    0.000 quarterduration.py:78(as_integer_ratio)
     2180    0.001    0.000    0.001    0.000 chord.py:248(midis)
      105    0.001    0.000    0.010    0.000 measure.py:44(_set_key)
  315/105    0.001    0.000    0.002    0.000 core.py:144(get_beats)
     1248    0.001    0.000    0.002    0.000 core.py:113(quantize)
      517    0.001    0.000    0.001    0.000 chord.py:237(is_rest)
      413    0.001    0.000    0.001    0.000 note.py:50(_check_xml_duration_value)
      413    0.001    0.000    0.003    0.000 chord.py:452(get_parent_measure)
      413    0.001    0.000    0.024    0.000 note.py:348(update_dots)
      413    0.001    0.000    0.001    0.000 midi.py:94(<listcomp>)
      105    0.001    0.000    0.008    0.000 measure.py:270(add_child)
      104    0.001    0.000    0.154    0.001 clef.py:86(__copy__)
     3006    0.001    0.000    0.001    0.000 accidental.py:184(mode)
      105    0.001    0.000    0.007    0.000 measure.py:56(_set_time)
      105    0.001    0.000    0.004    0.000 measure.py:37(_set_clefs)
      105    0.001    0.000    0.097    0.001 time.py:14(__init__)
      105    0.001    0.000    0.008    0.000 staff.py:66(add_child)
      413    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
      402    0.001    0.000    0.001    0.000 quarterduration.py:306(_check_quarter_duration_value)
      104    0.001    0.000    0.008    0.000 clef.py:54(sign)
      105    0.001    0.000    0.001    0.000 time.py:26(_calculate_actual_signatures)
     2054    0.001    0.000    0.001    0.000 accidental.py:240(show)
      402    0.001    0.000    0.017    0.000 beat.py:191(_split_not_writable)
     1272    0.001    0.000    0.001    0.000 xsdattribute.py:66(type_)
      104    0.001    0.000    0.003    0.000 staff.py:143(get_last_pitch_steps_with_accidentals)
     1129    0.001    0.000    0.001    0.000 staff.py:43(number)
       51    0.001    0.000    0.001    0.000 {method 'findall' of 're.Pattern' objects}
      104    0.001    0.000    0.006    0.000 clef.py:23(line)
      105    0.001    0.000    0.020    0.000 staff.py:20(__init__)
      413    0.001    0.000    0.004    0.000 note.py:277(get_parent_measure)
     2054    0.001    0.000    0.001    0.000 note.py:177(midi)
      418    0.000    0.000    0.014    0.000 re.py:289(_compile)
      105    0.000    0.000    0.004    0.000 staff.py:131(get_previous_staff)
