         25989017 function calls (19595184 primitive calls) in 11.450 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    15166    0.024    0.000    0.039    0.000 xsdsimpletype.py:85(_check_value_type)
    10848    0.024    0.000    0.036    0.000 xmlwrapper.py:35(<listcomp>)
    10647    0.024    0.000    0.041    0.000 xsdtree.py:154(get_complex_content)
    26165    0.023    0.000    0.038    0.000 xsdtree.py:184(get_restriction)
    99508    0.022    0.000    0.034    0.000 xsdtree.py:289(get_xsd_tree)
    44142    0.022    0.000    0.055    0.000 tree.py:99(up)
    52487    0.022    0.000    0.027    0.000 xsdtree.py:130(xml_element_tree_element)
    90741    0.021    0.000    0.021    0.000 {method 'startswith' of 'str' objects}
     8719    0.021    0.000    0.336    0.000 xmlelement.py:214(value_)
   165478    0.020    0.000    0.020    0.000 xmlchildcontainer.py:384(requirements_not_fulfilled)
     5890    0.020    0.000    0.215    0.000 xmlchildcontainer.py:16(_convert_xsd_child_to_xsd_container)
    20362    0.020    0.000    0.020    0.000 {method '__reduce_ex__' of 'object' objects}
7583/7580    0.020    0.000    0.051    0.000 xsdsimpletype.py:34(_check_value)
    35469    0.020    0.000    0.518    0.000 xmlelement.py:256(get_children)
   152828    0.019    0.000    0.019    0.000 xsdattribute.py:14(xsd_tree)
13374/1900    0.019    0.000    0.390    0.000 xmlchildcontainer.py:530(<listcomp>)
    11382    0.018    0.000    2.113    0.000 xmlelement.py:200(possible_children_names)
9521/9108    0.018    0.000    0.040    0.000 chord.py:553(__setattr__)
   144816    0.018    0.000    0.018    0.000 xmlchildcontainer.py:366(force_validate)
    34059    0.018    0.000    0.018    0.000 {method 'union' of 'set' objects}
    14811    0.017    0.000    0.028    0.000 util.py:49(isinstance_as_string)
     6634    0.016    0.000    2.306    0.000 xmlelement.py:241(add_child)
8218/8217    0.016    0.000    1.264    0.000 xmlwrapper.py:41(__getattr__)
     7583    0.016    0.000    0.026    0.000 xsdtree.py:216(<listcomp>)
   103560    0.016    0.000    0.016    0.000 {built-in method builtins.id}
    16639    0.015    0.000    0.026    0.000 xsdattribute.py:66(is_required)
     7583    0.015    0.000    0.036    0.000 xsdtree.py:218(<listcomp>)
     7583    0.015    0.000    0.088    0.000 xsdsimpletype.py:120(_populate_pattern)
   6011/1    0.015    0.000    1.274    1.274 xmlelement.py:119(_final_checks)
    53101    0.014    0.000    0.019    0.000 xmlchildcontainer.py:174(_check_child_to_be_added)
        4    0.014    0.004    0.014    0.004 sre_compile.py:276(_optimize_charset)
     7674    0.014    0.000    1.642    0.000 xmlelement.py:103(_create_child_container_tree)
15966/12165    0.014    0.000    0.262    0.000 xmlchildcontainer.py:81(_check_if_group_requires_elements)
    14463    0.014    0.000    0.017    0.000 core.py:1(cap_first)
     7583    0.014    0.000    0.038    0.000 xsdtree.py:190(get_xsd_pattern)
 6425/535    0.014    0.000    0.235    0.000 xmlchildcontainer.py:278(_populate_children)
     7583    0.013    0.000    0.097    0.000 xsdtree.py:213(get_permitted)
     8527    0.013    0.000    0.018    0.000 xmlelement.py:270(find_child)
