33.726771585
         60844953 function calls (53920799 primitive calls) in 34.593 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   698506    0.125    0.000    0.125    0.000 xsdtree.py:126(xml_element_tree_element)
    27000    0.120    0.000    0.211    0.000 xmlelement.py:385(<listcomp>)
  1044000    0.119    0.000    0.119    0.000 tree.py:47(is_leaf)
   268206    0.113    0.000    0.144    0.000 xsdtree.py:130(xml_element_tree_element)
    45000    0.111    0.000    7.242    0.000 xmlelement.py:240(add_child)
1020160/1020156    0.111    0.000    0.111    0.000 {built-in method builtins.len}
   437064    0.105    0.000    0.203    0.000 xsdtree.py:291(get_xsd_tree)
   747194    0.104    0.000    0.119    0.000 {method 'get' of 'dict' objects}
   415044    0.103    0.000    0.103    0.000 {method 'split' of 'str' objects}
    50000    0.102    0.000    0.693    0.000 xsdsimpletype.py:120(_populate_pattern)
     7041    0.098    0.000    0.181    0.000 {method 'find' of 'xml.etree.ElementTree.Element' objects}
    59000    0.098    0.000    1.479    0.000 xmlelement.py:199(possible_children_names)
    49000    0.097    0.000    8.162    0.000 xmlelement.py:102(_create_child_container_tree)
66000/19000    0.097    0.000    1.148    0.000 xmlchildcontainer.py:532(<listcomp>)
   522184    0.097    0.000    0.097    0.000 ElementPath.py:178(select)
   796000    0.096    0.000    0.096    0.000 xmlchildcontainer.py:384(requirements_not_fulfilled)
    89000    0.095    0.000    0.095    0.000 {method '__reduce_ex__' of 'object' objects}
    81000    0.094    0.000    0.156    0.000 util.py:49(isinstance_as_string)
    24000    0.090    0.000    0.912    0.000 xmlchildcontainer.py:16(_convert_xsd_child_to_xsd_container)
   410118    0.089    0.000    0.120    0.000 {method 'join' of 'str' objects}
34000/32000    0.086    0.000    0.233    0.000 chord.py:553(__setattr__)
   650000    0.085    0.000    0.085    0.000 xmlchildcontainer.py:366(force_validate)
    50000    0.085    0.000    0.336    0.000 xsdtree.py:192(get_xsd_pattern)
   507000    0.084    0.000    0.084    0.000 {built-in method builtins.id}
   261051    0.084    0.000    0.085    0.000 xsdtree.py:54(<listcomp>)
    50000    0.084    0.000    0.508    0.000 xsdtree.py:215(get_permitted)
    45000    0.078    0.000    0.191    0.000 xsdelement.py:32(add_xml_element)
    92000    0.077    0.000    0.474    0.000 ElementTree.py:1165(indent)
   261092    0.077    0.000    0.077    0.000 ElementPath.py:336(__init__)
